#British English to Estonian (no proper nouns)
aargh,aah
abrade,kraapima
abraded,marraskil
abrader,kraabits
abrading,silumine
abrase,kuluma
abrased,kulunud
abrasion,abrasioon
abrasiveness,lihvimisvõime
abreast,kõrvuti
abridge,lühendama
abridged,lühendatud
abridgement,sisukokkuvõte
abroad,välismaal
abrogate,tühistama
abrogation,ametlik tühistus
abrupt,järsk
abruption,lahtimurdumine
abruptly,järsult
abruptness,äkilisus
absarokite,absarokiit
abscess,mädapaise
abscessed,mädanev
abscise,küljest lõikama
abscissa,abstsiss
abscission,lehtede langemine
abscond,põgenema
absconder,põgenik
abseil,köie abil laskuma
absence,puudumine
absent,äraolev
absentee,puuduja
absenteeism,korduv põhjuseta puudumine
absently,hajameelselt
absentminded,hajameelne
absent-minded,hajameelne
absent-mindedly,hajameelselt
absentmindedly,hajameelselt
absentmindedness,töössesüvenemine
absent-mindedness,töössesüvenemine
absolute,absoluutne
absolutely,absoluutselt
absoluteness,absoluutsus
absolution,pattude andeksandmine
absolutism,absolutism
absolutist,absolutist
absolutistic,absolutistlik
absolve,vabastama
absorb,sisse imama
absorbency,imavus
absorbent,absorbent
absorbing,haarav
absorbingly,imavalt
absorbtion,absorbeerimine
absorption,imendumine
absorptive,imav
absquatulate,äkiliselt mujale kolima
abstain,hoiduma
abstainer,karsklane
abstemious,kasin
abstemiously,mõõdukalt
abstemiousness,mõõdukus
abstention,hoidumine
abstinence,karskus
abstinent,piiripidav
abstract,abstraktne
abstracted,mõtteisse vajunud
abstractedly,hajameelselt
abstractedness,süvenemus
abstracter,kokkuvõtete tegija
abstraction,abstraktsioon
abstractionism,abstraktsionism
abstractionist,abstraktsionist
abstractive,abstraheeriv
abstractly,abstraktselt
abstractor,kokkuvõtete tegija
abstruse,raskesti mõistetav
abstrusely,raskesti mõistetavalt
abstruseness,raskesti mõistetavus
abstrusity,sügav tarkus
absurd,absurdne
absurdities,mõttetused
absurdity,absurdsus
absurdly,absurdselt
absurdness,mõttetus
abulia,otsustusvõimetus
abulic,tahtejõuetu
abundance,küllus
abundant,külluslik
abundantly,külluslikult
abusage,väärtarvitus
abuse,väärastama
abused,kuritarvitatud
abuser,solvaja
abusive,solvav
abusively,solvavalt
abuzz,sumisev
abut,piirnema
abutment,liitekoht
abutter,mitme piirneva maatüki omanik
abutting,piirnev
abysm,sügavik
abysmal,põhjatu
abysmally,kohutavalt
abyss,kuristik
acacia,akaatsia
academe,akadeemiline maailm
academia,akadeemiline maailm
academic,akadeemiline
academically,akadeemiliselt
academician,akadeemik
academicianship,akadeemikuseisus
academies,akadeemiad
academy,akadeemia
acalculia,arvutamisvõimetus
acanthous,ogakujuline
acanthus,akantus
acapnotic,mittesuitsetaja
acardia,akardia
acarpous,viljakandmatu
acataleptic,mõistetamatu
acaudal,sabatu
acaudate,sabatu
acaudelescent,maapealse varreta
accede,nõustuma
accelerant,aktselerant
accelerate,kiirendama
accelerated,kiirendatud
acceleratedly,kiirendatult
accelerating,kiirenev
acceleratingly,kiirenevalt
acceleration,kiirendus
accelerator,gaasipedaal
acceleratory,kiirenev
accelerometer,kiirendusmõõtur
accent,aktsent
accented,rõhuline
accenting,rõhutamine
accentless,rõhutu
accentuate,rõhutama
accept,aktsepteerima
acceptability,vastuvõetavus
acceptable,vastuvõetav
acceptably,vastuvõetavalt
acceptance,vastuvõtt
acceptant,vastuvõtlik
acceptation,nõusolek
accepted,omaksvõetud
accepting,nurinata tunnustav
acceptive,vastuvõtlik
access,juurdepääs
accessable,ligipääsetav
accessary,kaasosaline
accessibility,ligipääsetavus
accessible,ligipääsetav
accession,vastuvõtmine
accessions,uudiskirjandus
accessories,lisaseadmed
accessory,lisavarustus
accidence,käänamisõpetus
accident,juhus
accidental,juhuslik
accidentally,juhuslikult
accident-prone,avariiohtlik
accidents,äpardused
accidious,laisk
accinge,end kokku võtma
accipiter,haugas
accismus,huvipuuduse teesklemine
acclaim,heaks kiitma
acclaimed,heakskiidetud
acclimate,aklimatiseeruma
acclimation,kohanemine
acclimatisation,aklimatiseerumine
acclimatise,kohanema
acclimatization,aklimatsioon
acclimatize,aklimatiseeruma
acclivitous,tõusev
acclivity,tõus
accolade,aumärk
accommodate,kohandama
accommodated,majutatud
accommodating,vastutulelik
accommodatingly,vastutulelikult
accommodation,majutus
accommodations,eluruumid
accommodative,lepitustotsiv
accompanied,saadetud
accompaniment,saade
accompanist,saatja
accompany,saatma
accompanying,kaasnev
accompanyist,saatja
accomplice,kaasosaline
accomplish,teostama
accomplishable,saavutatav
accomplished,lõpetatud
accomplishment,saavutus
accomplishments,saavutused
accord,kooskõla
accordance,ühisel meelel
accordant,kooskõlas
according,vastavalt
accordingly,vastavalt
accordion,akordion
accordionist,akordionist
accost,kõnetama
accouchement,sünnitus
accoucheur,akušöör
accoucheuse,akušöör
account,konto
accountability,aruandekohustus
accountable,vastutav
accountancy,aruandlus
accountant,raamatupidaja
accounting,aruandlus
accouter,relvastama
accoutered,relvastatud
accoutre,relvastama
accoutred,relvastatud
accoutrement,lisarõivastus
accoutrements,varustus
accredit,akrediteerima
accreditation,akrediteerimine
accredited,volitatud
accrete,endasse tõmbama
accretion,juurdekasv
accrual,lisandumine
accrue,juurde kasvama
accrued,kogunenud
accubation,naaldumine
accumbent,külitsi lebav
accumulate,kogunema
accumulated,kogunenud
accumulating,akumuleeruv
accumulation,akumulatsioon
accumulator,aku
accuracy,täpsus
accurate,täpne
accurately,täpselt
accurateness,täpsus
accurse,needma
accursed,neetud
accurst,neetud
accusal,süüdistus
accusation,süüdistus
accusatival,akusatiivi
accusative,akusatiiv
accusatory,süüdistav
accuse,süüdistama
accused,süüalune
accuser,süüdistaja
accusing,süüdistav
accusingly,süüdistavalt
accustom,harjutama
accustomed,harjunud
accustomize,harjuma
accustoms,tavad
ace,äss
acedia,tüdimus
aceldama,lahinguväli
acephalous,ilma peata
acerate,piklik
acerb,kibe
acerbate,kibestama
acerbic,kibe
acerbically,salvavalt
acerbity,kibedus
acerbly,salvavalt
acerin,kiisk
acerose,piklik
acervation,kuhjumine
acescent,hapukas
acetal,atsetaal
acetaldehyde,atseetaldehüüd
acetate,atsetaat
acetify,happeliseks muutma
acetometer,atsetomeeter
acetone,atsetoon
acetose,äädikamaitseline
acetous,äädikamaitseline
acetylation,atsetüleerimine
acetylcellulose,atsetüültselluloos
acetylene,atsetüleen
acetylization,atsetüleerimine
achates,ustav sõber
ache,valu
achievable,saavutatav
achieve,saavutama
achievement,saavutus
achievement-oriented,tulemusele orienteeritud
achievements,saavutused
aching,valutav
achondrite,akondriit
achromatic,akromaatiline
achromatin,akromatiin
achromatism,akromatism
achromatopsia,akromatopsia
achromic,värvitu
achy,valutav
acicular,nõeljas
acid,hape
acid-fast,happekindel
acidhead,LSD tarvitaja
acid-head,LSD tarvitaja
acidic,happeline
acidifier,hape
acidify,happeliseks muutma
acidimeter,atsidimeeter
acidimetry,atsidimeetria
acidity,happesus
acidlessness,happetus
acidly,salvavalt
acidophile,atsidofiil
acidophilic,atsidofiilne
acidosis,atsidoos
acidproof,happekindel
acidulate,hapendama
acidulated,hapestatud
acidulent,hapu
acidulous,hapukas
acid-wash,lumipesu
aciniform,kobarjas
ack-ack,õhutõrjekahur
ackman,mereröövel
acknowledge,tunnustama
acknowledgeable,tunnustatav
acknowledged,tunnustatud
acknowledgement,tunnustus
acknowledgements,kooskõlastused
acknowledgment,teatavaks võtmine
acme,haripunkt
acne,akne
acned,vistrikuline
acnestis,kehaosa mida ei saa käega sügada
acock,vinnas
acold,külmetav
acolyte,akolüüt
aconitine,akonitiin
acorea,pupilli puudumine silmas
acorn,tammetõru
acousma,kuulmishallutsinatsioon
acoustic,akustiline
acousticophobia,mürahirm
acoustics,akustika
acquaint,tutvustama
acquaintance,tutvus
acquaintanceship,tutvus
acquainted,tuttav
acquiesce,soostuma
acquiescence,vaikiv nõusolek
acquiescent,leplik
acquire,omandama
acquirement,harjutatud oskus
acquirer,hankija
acquiring,hankimine
acquis,acquis
acquisition,omandamine
acquisitive,ahne
acquisitiveness,saamahimu
acquit,süütuks kuulutama
acquittal,õigeksmõistmine
acquitted,õigeksmõistetud
acreage,ala
acres,ulatuslik maavaldus
acrid,kibe
acridity,ülikibedus
acridness,ülikibedus
acrimonious,terav
acrimoniously,teravalt
acrimony,teravus
acritochromacy,värvipimedus
acroamatic,esoteeriline
acrobacy,akrobaatika
acrobat,akrobaat
acrobatic,akrobaatiline
acrobatics,akrobaatika
acronym,akronüüm
acrophobia,akrofoobia
acropolis,akropol
across,üle kogu
acrostic,akrostihhon
acrylate,akrülaat
act,tegutsema
actable,esitatav
acting-out,impulsiivne purse
actinoid,kiirsümmeetriline
actinolite,aktinoliit
actinometer,aktinomeeter
actinometry,aktinomeetria
actinomycete,aktinomütseet
actinomycin,aktinomütsiin
actinomycosis,aktinomükoos
action,tegevus
actionable,kohtuprotsessi võimaldav
activate,aktiveerima
activated,aktiveeritud
activating,aktiveeriv
activation,aktiveerimine
activator,aktivaator
active,aktiivne
actively,aktiivselt
activeness,aktiivsus
activist,aktivist
activities,tegevused
activity,tegevus
actor,näitleja
actress,näitlejanna
actual,tegelik
actualise,aktualiseerima
actualization,aktualiseerimine
actualize,aktualiseerima
actuality,tegelikkus
actually,tegelikult
actuate,käivitama
actuated,ajendatud
actuation,liikvelepanemine
actuator,käivitaja
acuating,teravatipuline
acuity,nägemisteravus
aculeate,nõelataoline
acumen,läbinägelikkus
acuminate,terav
acumination,ühte punkti koondumine
acuminous,läbinägelik
acupuncture,akupunktuur
acute,akuutne
acute-angled,teravnurkne
acutely,teravalt
acuteness,teravus
acyclic,atsükliline
acylation,atsetüleerimine
ad,kuulutus
adactylia,adaktüülia
adactylism,adaktüülia
adage,mõttetera
adamance,järeleandmatus
adamant,järeleandmatu
adamantine,teemantkõva
adamantly,järeleandmatult
adamellite,adamelliit
adamite,nudist
adapt,kohandama
adaptability,kohanemisvõime
adaptable,kohanemisvõimeline
adaptation,kohanemine
adapted,kohandatud
adapter,adapter
adaption,muganemine
adaptive,adaptiivne
adaptor,adapter
adaxial,adaksiaalne
add,lisama
added,liidetud
addend,liidetav
addenda,lisad
addict,sõltlane
addicted,sõltuv
addictedness,sõltuvus
addiction,sõltuvus
addictive,sõltuvusttekitav
adding,liitmine
addition,liitmine
additional,täiendav
additionally,lisaks
additive,lisand
additives,lisaained
addle,segadusse ajama
addlebrain,pudrupea
addled,segane
addlehead,pudrupea
addle-headed,peast pehme
addlepate,taipamatu
addle-pated,peast pehme
addlepated,jabur
address,aadress
addressed,adresseeritud
addressee,adressaat
addressing,adresseerimine
adds,kuulutused
adduce,tõendina esitama
adenitis,adeniit
adenocarcinoma,adenokartsinoom
adenoid,adenoid
adenoidectomy,mandlilõikus
adenoids,adenoidid
adenoma,adenoom
adept,meister
adeptness,vilumus
adequacy,adekvaatsus
adequate,adekvaatne
adequately,adekvaatselt
adequateness,adekvaatsus
adhere,kinnituma
adherence,kinnipidamine
adherent,pooldaja
adhesion,külgejäämine
adhesive,kleepuv
adhesiveness,kleepuvus
adhesives,liimid
adiabatic,adiabaatiline
adiabolist,adiabolist
adiaphorous,neutraalne
adiaphory,osavõtmatus
adieu,hüvasti
adios,hüvasti
adipose,loomsest rasvast
adipsia,adipsia
adit,stoll
adjacency,külgnevus
adjacent,külgnev
adjectival,omadussõnaline
adjective,omadussõna
adjoin,külgnema
adjourn,vaheajale minema
adjourning,edasilükkamine
adjournment,edasilükkamine
adjudge,hindama
adjudicate,kohtunikuks olema
adjudication,otsuse langetamine
adjudicative,õigusemõistmise
adjudicator,õigusemõistja
adjunct,abiline
adjuration,loitsumine
adjuratory,pühalik
adjure,vannutama
adjust,kohandama
adjustable,kohandatav
adjusted,kohandatud
adjuster,regulaator
adjustment,kohandamine
adjustor,kindlustusinspektor
adjuvant,tugevdusaine
ad-lib,ettevalmistuseta
admass,massimeediast mõjutatud elanikkonna osa
admeasure,osalust määrama
administer,haldama
administration,administratsioon
administrative,administratiivne
administrator,administraator
admirable,imetlusväärne
admirably,imeteldavalt
admiral,admiral
admiralty,admiraliteet
admiration,imetlus
admire,imetlema
admired,imetletud
admiredly,imeteldavalt
admirer,imetleja
admiring,imetlev
admiringly,imetlevalt
admissable,vastuvõetav
admissibility,lubatavus
admissible,vastuvõetav
admission,sisselaskmine
admit,möönma
admittance,sissepääs
admittedly,mööndavasti
admonish,noomima
adnex,manus
adnubilated, 
ado,sahmerdamine
adobe,päikesekuivatatud tellis
adolescence,noorukiiga
adolescency,noorukiiga
adolescent,noorukieas
adonis,adoonis
adopt,adopteerima
adopted,adopteeritud
adoption,lapsendamine
adorable,jumaldatav
adorably,võluvalt
adoration,imetlus
adore,jumaldama
adorer,jumaldaja
adoring,jumaldav
adoringly,jumaldavalt
adorn,ehtima
adorned,ehitud
adornments,ehe
adposition,kaassõna
adpress,litsuma
adrenal,neerupealis
adrenaline,adrenaliin
adrift,triiviv
adroit,osav
adroitly,osavalt
adroitness,osavus
adscititious,täiendav
adsorbent,adsorbent
adsorber,adsorbeeraparaat
adze,tahumiskirves
adularia,adulaar
adulate,lipitsema
adulation,ülistamine
adulator,lipitseja
adult,täisealine
adulterant,lahjendi
adulterate,lahjendama
adulterated,lahjendatud
adulteration,lahjendamine
adulterer,abielurikkuja
adulteress,abielurikkuja
adulterine,abieluväline
adulterous,abielu rikkuv
adultery,abielurikkumine
adultescent,lapselik täiskasvanu
adulthood,täiskasvanu olemine
adults,täiskasvanud
adumbrate,visandama
adumbrative,vihjav
adumbratively,vihjavalt
adust,päikese käes kuivanud
advance,edenemine
advanced,arenenud
advancement,edasijõudmine
advancing,edasiliikuv
advantage,eelis
advantageous,soodne
advantageously,soodsalt
advantageousness,soodsus
advent,saabumine
adventious,mujalt tulnud
adventism,adventism
adventist,adventist
adventitious,lisatud
adventure,seiklus
adventure-loving,seiklushimuline
adventurer,seikleja
adventuresome,seiklushimuline
adventuress,seikleja
adventurist,avantürist
adventuristic,avantüristlik
adventurous,seiklushimuline
adverb,määrsõna
adverbial,määrus
adverbialize,adverbistuma
adversarial,vastandlik
adversary,vastane
adversative,vastandlik
adverse,ebasoodus
adversely,ebasoodsalt
adversity,ebaõnn
advert,kuulutus
advertent,tähelepanelik
advertise,reklaamima
advertised,reklaamitud
advertisement,reklaam
advertisements,reklaamilõigud
advertiser,reklaamija
advertising,reklaam
advertize,reklaamima
advertology,reklaamindus
advice,nõu
advisability,mõistlikkus
advisable,soovitatav
advise,nõu andma
adviser,nõuandja
advising,nõuandev
advisor,nõunik
advisory,nõustav
advocacy,propageerimine
advocate,kaitsja
adynamic,adünaamiline
aegean,egeuse
aegir,tõusulaine
aegis,egiid
aeon,igavik
aeonian,ajastutepikkune
aerate,ventileerima
aerated,gaseeritud
aeration,aeratsioon
aerator,aeraator
aerialist,õhuakrobaat
aerially,õhust
aerie,kotkapesa
aeriform,õhuline
aerify,aurustama
aerious,õhuline
aerobatics,vigurlend
aerobic,aeroobne
aerobics,aeroobika
aerobus,aerobuss
aerodrome,lennuväli
aerodynamic,aerodünaamiline
aerodynamics,aerodünaamika
aerogramme,kiri lennupostiga
aerolite,aeroliit
aerological,aeroloogiline
aerologist,aeroloog
aerology,aeroloogia
aeromechanics,aeromehaanika
aerometer,aeromeeter
aerometry,aeromeetria
aeronaut,õhusõitja
aeronautics,lennundus
aerophilatelist,lennundusalaste markide koguja
aerophoto,aerofoto
aerophotography,aerofotograafia
aerophyte,aerofüüt
aeroplankton,aeroplankton
aerosol,aerosool
aerospace,atmosfäär ja kosmos
aerostat,aerostaat
aerostatics,aerostaatika
aery,õhuline
aesculapius,eskulaap
aesopian,aisoposlik
aestival,suvine
aestivate,suveund magama
aetiology,etioloogia
afar,kaugelt
afeard,kolkalik
afeared,kolkalik
afebrile,palavikuta
affability,sõbralikkus
affable,sõbralik
affably,sõbralikult
affair,afäär
affaire,armulugu
affaires,asjad
affect,mõjutama
affectation,teesklus
affected,mõjutatud
affectedly,tehtult
affectedness,valskus
affection,kiindumus
affectionate,südamlik
affectionately,hellalt
affectionateness,kiindumus
affectious,südamlik
afferent,aferentne
affiance,kihlama
affianced,kihlunud
affiancer,kosjasobitaja
affiant,tunnistusavalduse esitaja
afficionado,jünger
affidavit,tunnistusavaldus
affiliate,liituma
affiliation,ühendus
affine,afiinne
affined,lähedates seostes
affineur,juustukasvataja
affinity,sugulus
affirm,kinnitama
affirmation,kinnitus
affirmative,jaatav
affirmatively,jaatavalt
affix,külge kinnitama
affixal,afiksaalne
affixed,külgekinnitatud
afflate,inspiratsiooni andma
afflation,inspiratsioonitulv
afflict,vaevama
afflicted,vaevatud
affliction,kannatus
affluence,rikkus
affluent,rikas
afford,endale lubama
affordable,taskukohane
affordably,taskukohaselt
afforest,metsastama
afforestation,metsastamine
affranchise,vabaks laskma
affray,lärmakas riid
affreight,prahtima
affreighter,prahtija
affreightment,prahtimine
affront,solvama
affronted,solvatud
affusion,veega ristimine
afghan,lambanahast kasukas
aficionado,austaja
afield,välja
afire,tules
aflame,leekides
aflare,lehviv
aflatoxin,aflatoksiin
aflicker,vilkuv
afloat,ulpiv
aflutter,tõrjuv
afoot,liikvel
afore,eespool
afore-cited,ülalmainitud
aforementioned,eespool mainitud
afore-mentioned,ülalmainitud
aforenamed,eelnimetatud
aforesaid,eelnimetatud
aforethought,läbimõeldud
afortiori,seda enam
afraid,kartev
afreet,ifriit
afresh,uuesti
africander,afrikander
africanist,afrikanist
afrikaner,afrikander
afro,kähar soeng
afro-american,afroameeriklane
aft,ahtris
after,pärast
after-,hiljem
afterbirth,platsenta väljumine sünnituse lõpus
afterbody,ahtriosa
aftercare,järelravi
afterclap,negatiivne järelmõju
afterdeath,surmajärgne
afterdeck,aktritekk
after-dinner,õhtusöögijärgne
afterdinner,õhtusöögijärgne
aftereffect,järelmõju
after-effect,järelmõju
afterglow,loojangukuma
afterhours,pärast tööd
after-hours,tööpäevaväline
after-image,järelkujutis
afterlife,hauatagune elu
after-life,hauatagune elu
aftermarket,sekundaarturg
aftermast,ahtrimast
aftermath,järelmõju
aftermaths,järelmõjud
aftermost,ahtripoolseim
afternoon,õhtupoolik
after-pain,sünnitusjärgsed valud
afterpain,sünnitusjärgsed valud
afterpains,sünnitusjärgsed valud
afterpart,tagaosa
afterparty,järelpidu
after-payment,järelmaks
afterpeak,ahterpiik
afterplanting,järelkülv
afters,magustoit
afterschool,pärast kooli
aftersensation,järelkujutis
aftershave,habemeajamisjärgne
aftershocks,järeltõuked
aftertaste,järelmaitse
afterthought,järelmõte
afterward,pärastpoole
afterwards,pärastpoole
afterwit,tagantjäreletarkus
afterword,järelsõna
afterworld,teispoolne maailm
again,uuesti
against,vastu
agalactia,rinnapiima puudumine
agar,agar
agar-agar,agar-agar
agate,ahhaat
agathokakological,heast ja halvast kokku pandud
agave,agaav
age,vanus
aged,vanurid
agedness,eakus
agee,viltu
ageing,vananev
ageless,ajatu
agemate,eakaaslane
agency,agentuur
agenda,päevakord
agendaless,kindla päevakorrata
agent,agent
agent-adverbial,tegijamäärus
age-old,igivana
ages,pikk aeg
age-specific,vanuseline
ageusia,maitsemeele kaotus
ageusic,maitsemeelt nüristav
agglomerate,kuhjuma
agglomerated,pressitud
agglomeration,kuhjatis
agglutinant,sideaine
agglutinate,aglutineerima
agglutinating,aglutineeriv
agglutination,aglutinatsioon
agglutinative,aglutinatiivne
agglutinin,aglutiniin
aggrandizement,suurendus
aggravate,raskendama
aggravating,raskendav
aggravation,süvendamine
aggregate,koonduma
aggregation,liitmine
aggress,tüli norima
aggression,agressioon
aggressive,agressiivne
aggressively,agressiivselt
aggressiveness,agressiivsus
aggressor,agressor
aggrieve,kurvastama
aggrieved,kahjukannataja
aghast,rabatud
agile,väle
agility,reipus
aging,vananemine
agio,aažio
agiotage,börsil hangeldamine
agita,kõrvetised
agitate,agiteerima
agitated,erutunud
agitation,erutusseisund
agitator,agitaator
agitprop,agitpropaganda
agley,vildak
agnize,aduma
agnoiology,võhikluse uurimine
agnomen,hüüdnimi
agnosia,agnoosia
agnostic,agnostik
agnostical,agnostiline
agnosticism,agnostitsism
ago,tagasi
agog,põnevil
agon,heitlus
agones,heitlused
agonised,piinlev
agonising,piinav
agonized,piinatud
agonizing,piinav
agonizingly,piinlevalt
agony,agoonia
agoraphobia,agorafoobia
agouti,aguuti
agrammatical,ebagrammatiline
agraphia,agraafia
agree,kokku leppima
agreeable,meeldiv
agreed,kokkulepitud
agreement,kokkulepe
agricultural,põllumajanduslik
agriculturalist,põllumajandustootja
agriculturally,põllumajanduslikult
agriculture,põllumajandus
agrobiology,agrobioloogia
agronome,agronoom
agronomist,agronoom
agronomy,agronoomia
agrypnia,unetus
ahead,edasi
ahoy,ahoi
aid,abi
aide,abi
aide-de-camp,adjutant
ail,vaevama
aileron,kaldtüür
ailing,valus
ailment,tervisehäire
ailurophile,kassiarmastaja
ailurophilia,kassiarmastus
ailurophobia,kassikartus
aim,siht
aimless,sihitu
aimlessly,sihitult
aioli,küüslaugukaste
air,õhk
airbase,sõjalennuväli
airbed,õhkmadrats
airborne,lendav
airbus,lähilendude reisilennuk
air-condition,õhuvahetus
air-conditioned,konditsioneeritud õhuga
air-cooled,õhkjahutusega
aircraft,lennuk
aircrew,ekipaaž
airdrop,langevarjudessant
airedale,airdeilterjer
airfield,lennuväli
airforce,õhujõud
air-ground,õhk-maa
airily,möödalibisevalt
airless,hingetu
airlessly,hingetult
airline,lennuliin
airlock,õhulüüs
airmail,lennupost
airman,lennuväelane
airplane,lennuk
airport,lennujaam
airship,õhulaev
airsick,õhuhaige
airspace,õhuruum
airstrip,ajutine lennuväli
airtight,õhukindel
airtightly,õhukindlalt
air-to-surface,õhk-maa
air-traffic,lennuliiklus
airway,lennutrass
airways,lennuliinid
airworthy,lennukõlbulik
airy-fairy,õrn
aisle,vahekäik
ajar,paokvel
aka,alias
alabaster,alabaster
alack,oh häda
alacritous,innukas
alacrity,innukus
alameda,alameda
alamodality,moega kaasas käimine
alamode,veinis hautatud lihalõik
alanine,alaniin
alar,tiibadega
alarm,alarm
alarmclock,äratuskell
alarmed,ärevuses
alarmedly,ärevusse sattunult
alarming,ärevust tekitav
alarmingly,ärevusse ajavalt
alarmism,tarbetud hoiatused
alarmist,paanikatekitaja
alarms,häiresignaalid
alarum,automaatne hoiatussignaal
alas,paraku
alaskite,alaskiit
alate,tiivuline
alated,tiivakestega varustatud
albeit,kuigi
albinal,albinismi tunnustega
albinic,albinismi tunnustega
albinism,albinism
albino,albiino
albinos,albiinod
albite,albiit
albitite,albitiit
album,album
albumen,munavalge
albumin,albumiin
albuminoid,albuminoid
alcahest,alkahest
alchemist,alkeemik
alchemy,alkeemia
alcohol,alkohol
alcoholic,alkohoolne
alcoholism,alkoholism
alcoholize,alkohoolseks muutmine
alcoholometer,alkomeeter
alcove,alkoov
aldehyde,aldehüüd
aldehydic,aldehüüdne
alder,lepp
alderman,linnavalitsuse liige
ale,õlu
aleatory,aleatoorne
alee,allatuult
alehouse,õlletuba
aleph-null,alef null
alephzero,alef null
aleph-zero,alef null
alert,erk
alerting,hoiatamine
alertly,erksalt
alertness,erksus
aleuron,aleuroon
aleut,aleuut
aleutian,aleuut
alexia,aleksia
alexiteric,vastumürk
alfresco,värskes õhus
alga,vetikas
algae,vetikad
algaecide,vetikamürk
algebra,algebra
algebraic,algebraline
algerians,alžeerlased
algesia,ülitundlikkus
algicide,vetikas
algid,külm
alginate,alginaat
algolagnia,nauding kannatuste põhjustamisest
algophilia,kannatuste nautimine
algophobia,algofoobia
algorithmic,algoritmiline
alias,alias
alibi,alibi
alien,tulnukas
alienable,võõrandatav
alienation,võõrandumine
alienist,psühhiaater
alighting,lennulaud
align,joondama
alignment,joondus
alike,sarnane
aliment,kosutus
alimental,toitev
alimentation,elatamine
alimony,alimendid
aliquot,pärisjagaja
alist,kreenis
alizarine,alisariin
aliterate,lugemishuvita
alive,elus
alkali,leelis
alkalinity,happesus
alkaloid,alkaloid
alkane,alkaan
all,kõik
all-a-port,vasakule poordi
all-around,igakülgne
all-a-starboard,paremale poordi
allatrate,haukuma
allay,maha rahustama
allect,ahvatlema
allegation,süüdistus
allege,kinnitama
alleged,väidetav
allegedly,väidetavalt
alleger,väitja
allegiance,truudus
allegorical,allegooriline
allegory,allegooria
allelism,alleelsus
allelopathy,allelopaatia
alleluia,halleluuja
all-encompassing,kõikehõlmav
allergen,allergeen
allergenic,allergeenne
allergic,allergiline
allergology,alleroloogia
allergy,allergia
alleviate,leevendama
alley,põiktänav
alleyway,vahekäik
alliance,liit
allied,ühinenud
alligate,kokku siduma
alligation,liitumine
alligator,alligaator
all-important,esmajärgulise tähtsusega
all-in,kõikehaarav
all-in-one,universaalne
alliteration,alliteratsioon
alliterative,alliteratsiooniline
all-knowing,kõiketeadev
