aakkonen,letter
hirmusuuri,terror great
hissivalaisin,elevator lighting
hiusmuotoilu,haircut
hopeaesine,silver object
huipputapaus,top case
hunajanvaalea,honey blonde
huononnäköinen,bad-looking
huulipuna,lipstick
huviretki,jaunt
hyräily,croon
hyväntekeväisyyskonsertti,charity concert
häly,stir
häpeällisesti,shamefully
hätäisesti,hastily
höyrytin,steamer
ihan,quite
ihmismeri,human sea
illallispöytä,dinner table
ilmalento,air flight
ilmatyhjiö,an air vacuum
iloita,rejoice
iltavalaistus,evening lighting
imponoida,impress
infantiili,infantile
innoittaja,inspiration
irtopäällinen,slipcover
iso,major
istumalentopallo,sitting volleyball
itiöpesäke,sporangium
itsepalvelumyymälä,self-service shop
jakeluauto,delivery van
jalkamaa,to leg
jalostua,refined
jatkokertomus,serial story
johto,management
jouten,unoccupied
jumalaisesti,divinely
juoksennella,run around
juoppojuna,drunkard train
jutustelu,small talk
jyrähdys,clap
jäljittää,trace
jälkivaatimuslähetys,payment on delivery
jännitystila,stress state
järkevyys,rationality
jäykästi,rigidly
kaaderi,cadre
kaasutus,gasification
kahdeksankertainen,eight times
kahva,handle
kaikista,of all
kakkonen,two
kaksintaa,as doubled
kalasatama,fishing port
kallistuskulma,tilt angle
kalvin,reamer
kanelinkuori,cinnamon bark
kannas,isthmus
kansituoli,deck chair
kantoaika,carrying time
kapinoija,rebellion
karhunruoho,bear grass
karju,boar
karoteeni,carotene
karvatukko,hair old man
kassanhoitaja,cashier
katonharja,roof ridge
katukivetys,pavement
kaulapanta,collar
kaupanvahvistus,trade confirmation
kaupunginvaltuusto,town council
kehnosti,poorly
keihäänheittäjä,javelin thrower
keinuttaa,sway
kelloradio,radio alarm
kemisti,chemist
kenttämyynti,field sales
kermajuusto,cream cheese
kertakäyttöhyödyke,disposable commodity
keskipakoinen,centrifugal
keskustelu,discourse
kesäilta,summer evening
ketjuuntua,chained
kevytbetoninen,lightweight concrete
kidnappaaja,kidnapper
kielilläpuhuja,languages ​​speaker
kieroluonteinen,crooked-off
kiertoprosessi,cycle
kihota,trickle
kiillotin,polisher
kiinnitysluottopankki,mortgage bank
kiireisyys,'busy schedules
kilahdus,clink
kilpailumieli,competition in mind
kimeästi,shrilly
kipulääkitys,pain medication
kirjelakka,letter lacquer
kirkasvaloinen,bright light for
kirnunmäntä,s kettle piston
kitku,smoke
kivertyä,curl up
kivirakka,stone grains
klausuuli,clause
koeaika,probation
koheesio,cohesion
kohtu,uterus
koivulauta,birch board
kolmivaihesähkö,three-phase electricity
komedienne,comedienne
kompensoida,compensate
konemestari,engineer
konsensus,consensus
kontrapunkti,counterpoint
koostua,consist of
korento,dragonfly
korkea-aste,high degree of
korkorauta,interest iron
korsi,stalk
korvanipukka,ear lobe
koskimelonta,whitewater rafting
kotiintulo,homecoming
kotisynnytys,home birth
koukkupyynti,fishing hook
koulupiiri,catchment area
kovakalloinen,hard-headed
krapulainen,kind of hangover
kruununmakasiini,granary
kuikuilu,teaser
kuivatusoja,major drainage
kukkapöytä,flower table
kuljetuskone,transport
kulmamittari,angle meter
kultapiisku,goldenrod
kumipäällysteinen,rubber-coated
kumpupilvi,cumulus
kunniakkaasti,honorably
kuntonyrkkeily,fitness boxing
kuolemattomuus,immortality
kuorimo,debarking
kupera,convex
kurinpitokeino,disciplinary way
kustantamo,publishing house
kuulolaite,hearing aid
kuumavalssaus,hot rolling
kuurous,deafness
kuutiopaino,cube weight
kypsytys,maturation
kädellinen,primate
käsikirja,handbook
käsittely,handling
kävellä,walk
käyttäytymissääntö,of conduct
käärmekaktus,disocactus flagelliformis
köynnöskasvi,creeper
laakalyönti,flat swing
laimin,failure
laivameklari,shipping agent
laki,law
lakritsijuuri,liquorice root
lampunvarjostin,lampshade
lapsenomaisesti,childlike
lasitölkki,glass jar
lassie,collie
lauluntekijä,songwriter
lehtiö,pad
leikkelemakkara,slices
leipäkuoriainen,drugstore beetle
lennähdellä,flutter
leuto,mild
lieriö,cylinder
lihansyöjä,carnivore
liikakäyttö,overuse
liikennesaareke,traffic island
liito-orava,flying squirrel
lineaarinen,linear
linnusto,birdlife
lippuautomaatti,ticket machine
lisäbudjetti,supplementary budget
lobata,lobby
loikoilu,sprawl
loiva,gentle
loppupalkka,final salary
lossiyhteys,ferry link
lukijakirje,reader letter
lumo,enchantment
luokki,shaft bow
luonnonlannoitus,natural fertilization
luonteikas,of character
luottamuslauseäänestys,vote of confidence
luvanvaraistaa,subject to authorization
lyijyluoti,lead bullet
lähetystösihteeri,secretary
lämpökeskus,heating plant
länsituuli,westerly
lääkkeenvalmistusoppi,drug manufacturing learned
maailmankatsomuksellinen,ideological
maalipinta,paint
maataideteos,earth art
madeiraviini,madeira wine
mahavaiva,stomach discomfort
mainittavasti,appreciably
maistiaiset,sample
majuri,major
malmirikas,ore concentrate
mankua,badger
markkinatutkimus,market research
matalarantainen,shallow beach for
matkakirjoituskone,travel typewriter
matriarkaalinen,matriarchal
mekaanistaa,mechanize
merensininen,sea ​​blue
merirosvoradio,pirate radio
mestariteos,masterpiece
metallityöntekijä,metal worker
metsäkoneasentaja,forestry technician
metsäteollisuus,forest industry
mieleinen,pleasing
mielipuolinen,unglued
miestoveri,fellow man
mikrofilmata,microfilm
milloinkin,at what time
mitta-astia,measuring vessel
momentti,moment
monimielinen,ambiguous
mosaiikkilaatta,mosaic tile
mukaanotto,inclusion
mulperipuu,mulberry
musiikkileikkikoulu,music playschool
mustata,blacken
muuttohaukka,peregrine
myrkytysoire,of poisoning
mökkikylä,holiday cottages
naapuruussuhde,neighborly
nuorikarja,young cattle
purppuraviitta,purple
pystymyynti,vertical sales
pännä,put
pääministeri,prime minister
päättökoe,final exam
pörröllään,fluffed
pöytärukous,grace
radonmittaus,radon measurement
raideliikenne,rail
rakennuspiirustus,design drawing
rankka,tough
rappioitua,degenerate
rationaalisesti,rationally
rauduskoivu,silver birch
ravintoketju,food chain
reaalivakuus,real collateral
rehtiys,plain dealing
riippuvaisuus,dependence
riitauttaa,challenge
rikollisesti,criminally
rinnanmitta,chest measurement
riskinen,risky
ristipölytys,cross fertilization
rivikansanedustaja,back-bencher
roina,tat
rotusorto,racial oppression
ruiskaus,squirt
rullasuksi,roller ski
ruohonleikkuri,mower
ruuvikoukku,screw hook
rykelmä,cluster
röhkinä,grunt
saivare,nit
salaattiannos,salad dose
salapoltto,secret internal combustion
sanahakemisto,concordance
sanelupolitiikka,diktats
saostusallas,settling tank
satavuotinen,hundred years
satunnaisotos,random sample
seikkaperäinen,detailed
seisauksiin,solstice
sekuntinopeus,second speed
sepittely,confabulation
setteri,setter
siirtomaatavarakauppa,colonial trade in goods
siivouspalvelu,cleaning service
silitysrauta,iron
sinkoilla,thrown out
sirkka,cricket
sisäistää,internalize
sitoumusbridge,commitment bridge
sminkki,greasepaint
soinnikkaasti,sonorous
sokerikakku,sponge cake
solisti,soloist
sopimusneuvottelu,contract negotiation
sotaherra,warlord
sotilaspistooli,military pistol
sovellutus,application
spermisidi,spermicide
sterilointi,sterilization
subjektivisti,subjektiv
suitsuttaa,incense
sukupuolielämä,sex life
summa,sum
suodatinpussi,filter bag
suojelukohde,listed building
suorakaide,rectangle
suosittu,popular
suunnistuskilpailu,orienteering competition
sydänvaiva,heart trouble
synnytyslaitos,maternity hospital
syventää,deepen
syyshalla,autumn frost
syöntiaika,eating time
säestyssoitin,an accompanying instrument
sähkömies,electrician
sämplätä,range detection
säteilyvaarallinen,dangerous radiation
säästäväisyys,thrift
taksiliikenne,taxi transport
talouskeskus,economic center of
talvenselkä,winter back
tammipöytä,oak table
tanssitauti,chorea
tarkastus,inspection
tarmokas,energetic
tasa-arvoisesti,equally
taulukokoelma,flat collection
teelaatu,tea blend
tekniikkalukio,technology high school
tekstiilikuitu,textile fiber
telttakylä,tent village
tervaporvari,tar bourgeois
teräksensininen,steel blue
tiedonkeruu,data collection
tieosa,road section
tietokonevirus,computer virus
tiiviys,consistency
tilastolaskelma,statistical calculation
tiliöidä,be posted
tippa,drop
tiukalle,tightly
tohina,razzle
tolalle,new leaf
tonttuleikki,elf toy
torpedoida,torpedo
toteutua,be realized
tragedienne,tragedie
triennaali,triennial
tuhopoltto,arson
tukevasti,firmly
tukkipuu,logs
tuloerä,gain
tummasilmäinen,dark-eyed
tuntilasi,hour glass
tuoksahtaa,smells
tuonnoin,bring about
tuplavahinko,double damage
tuulenhalkoja,wind firewood
tykistö,artillery
typekäs,nitrogenous
tyttöaika,girl time
tyylisuunta,genre
työkalu,tool
työmyyrä,glutton for work
työrauhavelvoite,industrial peace obligation
työtön,unemployed
tännimmäinen,nearest
tästä,from here
täyskorjaus,full repair
töksäyttää,blurt
uhmamielinen,defiant
uisko,storm
ulina,whine
ulkomaa,abroad
ullakkokamari,attic room
ummistaa,close
urheiluhousut,shorts
urputtaa,to complain
utilitaristi,utilitarian
uupumus,fatigue
uutislähetys,newscast
vaellella,wander
vaientaa,silence
vaikeakäyttöinen,difficult to use
vaipua,sink
vajavaisesti,imperfectly
valaisu,illumination
valistusaate,education ideas
valkosipulijauhe,garlic powder
valmennusrengas,coaching ring
valokuva-albumi,photo album
valovuosi,light year
valtiojohtoinen,state-run
valutus,draining
vapaatunti,leisure hour
varsikenkä,boot
vasta,only
vastaluku,opposite number
vastikkeellisuus,remunerativeness
vehnänen,wheat
veluuri,velours
venähtää,shoot up
verkkomaha,reticular
verorikos,criminal tax
vertauskuvallinen,allegoric
vesikäärme,water snake
vesirokkovirus,varicella zoster virus
vienosti,softly
vierasvuode,guest bed
viinanpoltto,distillation
viisastuttaa,be wise
viljantuonti,cereal imports
villakoira,poodle
vilvoittelu,cooling off
virheratkaisu,error solution
virkatutkinto,service exam
virtajohdin,power cable
viskely,spillage of
vitsi,joke
voihkaista,groan
voimistelu,gymnastics
voittopiste,profit point
vuodelepo,bed rest
vuonankaali,corn salad
vuorostaan,in turn
vuoto,leakage
vähemmistövaltuutettu,minorities
välipohja,midsole
väläyttää,fires
väriteollisuus,color industry
vääjäämättömästi,irrevocably
ydinkärki,nuclear warhead
yhteyssihteeri,contact secretary
yksityisoppilas,private student
yleisradioasema,broadcasting station
ylikuumentua,overheat
yllä,above
ympäristökunta,environment municipality
yrttilääkintä,herbalism
äkkiseltään,at first glance
änkätä,hum and haw
äänentallennustekniikka,sound recording technology
öljyhoito,oil treatment
